runnum launchtime launch gpuCTag positrons calo12ratio
253 -1 -1 252 -1 1.15
254 -1 -1 252 -1 1.15
255 -1 -1 251 -1 1.15
256 -1 -1 252 -1 1.15
257 -1 -1 252 -1 1.15
258 -1 -1 252 -1 1.15
259 -1 -1 252 -1 1.15
260 -1 -1 273 -1 1.15
261 -1 -1 1806 -1 1.15
262 -1 -1 1806 -1 1.15
263 -1 -1 504 -1 1.15
264 -1 -1 -1 -1 -1
265 -1 -1 1050 -1 1.15
266 -1 -1 -1 -1 -1
267 -1 -1 0 -1 -nan
268 -1 -1 1806 -1 1.15
269 -1 -1 1260 -1 1.15
270 -1 -1 1785 -1 1.15
271 -1 -1 1806 -1 1.15
272 -1 -1 -1 -1 -1
273 -1 -1 0 -1 -nan
274 -1 -1 1785 -1 1.15
275 -1 -1 1554 -1 1.15
276 -1 -1 504 -1 1.15
277 -1 -1 273 -1 1.15
278 -1 -1 252 -1 1.15
279 -1 -1 1008 -1 1.15
280 -1 -1 1050 -1 1.15
281 -1 -1 504 -1 1.15
282 -1 -1 252 -1 1.15
283 -1 -1 216 -1 1.35294
284 -1 -1 1512 -1 1.35777
285 -1 -1 -1 -1 -1
286 -1 -1 0 -1 -nan
287 -1 -1 0 -1 -nan
288 -1 -1 -1 -1 -1
289 -1 -1 1615 -1 1.27778
290 -1 -1 -1 -1 -1
291 -1 -1 1720 -1 1.21053
292 -1 -1 1460 -1 1.20537
293 -1 -1 -1 -1 -1
294 -1 -1 1803 -1 1.16535
295 -1 -1 3827 -1 1.06596
296 -1 -1 828 -1 1.04545
297 -1 -1 912 -1 1.27778
298 -1 -1 -1 -1 -1
299 -1 -1 -1 -1 -1
300 -1 -1 -1 -1 -1
301 -1 -1 -1 -1 -1
302 -1 -1 3228 -1 1.00756
303 -1 -1 600 -1 1
304 -1 -1 -1 -1 -1
305 -1 -1 -1 -1 -1
306 -1 -1 288 -1 1
307 -1 -1 288 -1 1
308 -1 -1 288 -1 1
309 -1 -1 288 -1 1
310 -1 -1 288 -1 1
311 -1 -1 288 -1 1
312 -1 -1 2160 -1 1
313 -1 -1 -1 -1 -1
314 -1 -1 9214 -1 0.995937
315 -1 -1 3528 -1 0.995388
316 -1 -1 1175 -1 0.993492
317 -1 -1 1176 -1 0.993442
318 -1 -1 288 -1 0.992895
319 -1 -1 1176 -1 0.993331
320 -1 -1 1175 -1 0.993073
321 -1 -1 1152 -1 0.992795
322 -1 -1 -1 -1 -1
323 -1 -1 1176 -1 0.992665
324 -1 -1 1176 -1 0.992698
325 -1 -1 864 -1 0.992498
326 -1 -1 -1 -1 -1
327 -1 -1 288 -1 0.995838
328 -1 -1 600 -1 0.995639
329 -1 -1 8664 -1 0.996074
330 -1 -1 7488 -1 0.995968
331 -1 -1 3215 -1 0.996131
332 -1 -1 -1 -1 -1
333 -1 -1 -1 -1 -1
334 -1 -1 1464 -1 0.995459
335 -1 -1 -1 -1 -1
336 -1 -1 -1 -1 -1
337 -1 -1 -1 -1 -1
338 -1 -1 -1 -1 -1
339 -1 -1 -1 -1 -1
340 -1 -1 0 -1 -nan
341 -1 -1 288 -1 0.992404
342 -1 -1 -1 -1 -1
343 -1 -1 312 -1 0.991519
344 -1 -1 288 -1 0.992693
345 -1 -1 312 -1 0.990908
346 -1 -1 -1 -1 -1
347 -1 -1 288 -1 0.989495
348 -1 -1 8327 -1 0.992402
349 -1 -1 8664 -1 0.992553
350 -1 -1 2880 -1 0.992416
351 -1 -1 11808 -1 0.992296
352 -1 -1 10943 -1 0.992344
353 -1 -1 11302 -1 0.992401
354 -1 -1 11736 -1 0.992497
355 -1 -1 11808 -1 0.992083
356 -1 -1 1464 -1 0.992118
357 -1 -1 -1 -1 -1
358 -1 -1 -1 -1 -1
359 -1 -1 11808 -1 0.992212
360 -1 -1 11256 -1 0.992227
361 -1 -1 10944 -1 0.992023
362 -1 -1 11591 -1 0.992142
363 -1 -1 11952 -1 0.9919
364 -1 -1 9287 -1 0.992042
365 -1 -1 8664 -1 0.991961
366 -1 -1 8664 -1 0.991932
